ArticleLabel,DiseaseLabel,ChemicalLabel
24781735,Autism Spectrum Disorder,1-(1-(4-fluorophenyl)ethyl)-3-((3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)methylene)-2-piperidinone
30890645,Autism Spectrum Disorder,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea
35663546,Autism Spectrum Disorder,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea
21254450,Autism Spectrum Disorder,"1,1-bis(3'-indolyl)-1-(4-hydroxyphenyl)methane"
35663546,Autism Spectrum Disorder,"1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane"
35663546,Autism Spectrum Disorder,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene"
35663546,Autism Spectrum Disorder,"11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1"
35663546,Autism Spectrum Disorder,11-deoxyprostaglandin E1
35663546,Autism Spectrum Disorder,"1,1-dichloro-2,2-difluoroethylene"
35663546,Autism Spectrum Disorder,"1,1-dichloroethane"
35663546,Autism Spectrum Disorder,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC"
35663546,Autism Spectrum Disorder,"1,1-diphenylhydrazine"
31209396,Autism Spectrum Disorder,"1,1-ethanediol"
35663546,Autism Spectrum Disorder,"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol"
35663546,Autism Spectrum Disorder,1-(1H-indol-3-yl)-3-(3H-indol-3-ylidene)propan-2-one
35663546,Autism Spectrum Disorder,"1-(1H-indol-3-yl)-9H-pyrido(3,4-b)indole"
35663546,Autism Spectrum Disorder,11-hydroxyandrostenedione
35663546,Autism Spectrum Disorder,"1-(1-(imidazo(1,2-a)pyridin-6-yl)ethyl)-6-(1-methyl-1H-pyrazol-4-yl)-1H-(1,2,3)triazolo(4,5-b)pyrazine"
35663546,Autism Spectrum Disorder,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea
30890645,Autism Spectrum Disorder,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea
35663546,Autism Spectrum Disorder,11-methylbenzanthracene
35663546,Autism Spectrum Disorder,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid
21308764,Autism Spectrum Disorder,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid
35663546,Autism Spectrum Disorder,1-(1-propynyl)pyrene
35663546,Autism Spectrum Disorder,1-(2-(2-thienyl)-2-adamantyl) morpholine
35663546,Autism Spectrum Disorder,"1,2,3,4,6,7,8-heptachlorodibenzodioxin"
35663546,Autism Spectrum Disorder,"1,2,3,4,6,7,8-heptachlorodibenzofuran"
35663546,Autism Spectrum Disorder,"1,2,3,4,6,7-hexachlorinated naphthalene"
35663546,Autism Spectrum Disorder,"1,2,3,4,7,8-hexachlorodibenzodioxin"
35663546,Autism Spectrum Disorder,"1,2,3,4,7,8-hexachlorodibenzofuran"
35663546,Autism Spectrum Disorder,"1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine"
24781735,Autism Spectrum Disorder,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole
35663546,Autism Spectrum Disorder,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole
35663546,Autism Spectrum Disorder,"1,2,3,4-tetrachlorodibenzodioxin"
35663546,Autism Spectrum Disorder,"1,2,3,4-tetrahydroisoquinoline"
35663546,Autism Spectrum Disorder,"1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid"
35663546,Autism Spectrum Disorder,"1,2,3,5,6,7-hexachloronaphthalene"
35663546,Autism Spectrum Disorder,"1,2,3,6,7,8-hexachlorodibenzodioxin"
35663546,Autism Spectrum Disorder,"1,2,3,7,8-pentachlorodibenzofuran"
35663546,Autism Spectrum Disorder,"1,2,3,7,8-pentachlorodibenzo-p-dioxin"
30890645,Autism Spectrum Disorder,12-(3-adamantan-1-ylureido)dodecanoic acid
35663546,Autism Spectrum Disorder,12-(3-adamantan-1-ylureido)dodecanoic acid
35663546,Autism Spectrum Disorder,"1-(2,3-dihydrobenzo(b)(1,4)dioxin-6-yl)-4-((6-fluoropyridin-3-yl)methyl)piperazine"
35663546,Autism Spectrum Disorder,"1,2,3-trichloropropane"
35663546,Autism Spectrum Disorder,"1,24,25-trihydroxyvitamin D3"
35663546,Autism Spectrum Disorder,"1,2,4,5-tetrachlorobenzene"
21572417,Autism Spectrum Disorder,"1-(2,4-dichlorobenzyl)indazole-3-carbohydrazide"
28191889,Autism Spectrum Disorder,"1-(2,4-dichlorobenzyl)indazole-3-carbohydrazide"
35663546,Autism Spectrum Disorder,"1,24-dihydroxyvitamin D2"
35663546,Autism Spectrum Disorder,"1,2,4-triazole"
31209396,Autism Spectrum Disorder,"1,2,4-triazole"
35663546,Autism Spectrum Disorder,"1,2,4-trichlorobenzene"
35663546,Autism Spectrum Disorder,"1,2,4-trimethylcyclohexane"
35663546,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
20546835,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
28191889,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
25290267,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
20657642,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
18252227,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
31209396,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
20868653,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
21151189,Autism Spectrum Disorder,"1,2,5,6-dibenzanthracene"
35663546,Autism Spectrum Disorder,"1,2,5,6-tetrabromocyclooctane"
35663546,Autism Spectrum Disorder,"1,2,5,8-tetrahydroxy anthraquinone"
35663546,Autism Spectrum Disorder,"1,25-dihydroxy-16-ene-vitamin D3"
35663546,Autism Spectrum Disorder,"1,25-dihydroxy-19-norvitamin D3"
35663546,Autism Spectrum Disorder,"1,25-dihydroxy-26,27-dimethylcholecalciferol"
35663546,Autism Spectrum Disorder,"1,25-dihydroxyergocalciferol"
35663546,Autism Spectrum Disorder,"1,25-dihydroxyvitamin D"
27399968,Autism Spectrum Disorder,"1,25-dihydroxyvitamin D"
35663546,Autism Spectrum Disorder,"1-(2,6-dimethylphenoxy)-2-(3,4-dimethoxyphenylethylamino)propane"
35663546,Autism Spectrum Disorder,"1,2,7,8-tetrachlorodibenzofuran"
35663546,Autism Spectrum Disorder,"1,2,7,8-tetrachlorodibenzo-p-dioxin"
35663546,Autism Spectrum Disorder,"1,2-benzisothiazoline-3-one"
35663546,Autism Spectrum Disorder,"(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane"
